Pre-monsoon_2015 (meters below ground level),Pre-monsoon_2016 (meters below ground level),Pre-monsoon_2017 (meters below ground level),Pre-monsoon_2018 (meters below ground level),Pre-monsoon_2019 (meters below ground level),Pre-monsoon_2020 (meters below ground level),Pre-monsoon_2021 (meters below ground level),Pre-monsoon_2022 (meters below ground level),Label
20.1,22.0,22.25,21.25,22.95,23.05,23.92,25.8,1
38.5,37.9,39.7,33.1,39.5,37.5,40.5,42.5,1
10.7,8.85,9.05,6.9,11.8,7.9,11.1,11.1,0
13.15,15.65,14.9,14.95,15.0,15.9,12.8,14.2,0
15.9,17.3,17.0,16.9,19.8,19.9,17.2,16.2,0
15.2,16.0,6.7,16.0,8.0,9.7,11.2,9.7,0
32.6,36.2,35.4,36.0,35.4,35.35,36.2,36.7,1
7.9,8.7,8.15,6.0,19.6,8.5,19.0,18.65,0
165.0,141.0,113.0,88.0,128.1,136.32,68.02,9.55,0
5.4,6.2,6.6,6.2,6.2,3.8,4.1,5.9,0
66.1,66.5,66.3,66.45,68.1,69.05,70.25,70.4,1
24.8,26.77,28.43,23.0,23.06,21.58,22.9,24.8,0
17.28,18.2,18.2,19.0,12.19,12.19,12.6,12.5,0
3.7,11.4,12.5,11.0,11.4,3.4,3.7,4.0,0
28.2,29.75,31.55,32.15,33.2,28.2,28.2,30.1,1
38.05,38.25,38.16,38.36,38.96,39.15,39.35,39.3,1
42.6,41.0,40.7,39.9,42.2,38.8,41.0,39.95,1
40.76,40.82,45.34,45.04,46.39,48.56,48.41,48.5,1
14.5,18.45,7.25,16.6,16.8,9.8,10.8,9.55,0
68.0,78.6,87.8,95.9,102.0,102.7,28.1,21.1,0
32.7,33.8,35.98,37.54,38.3,39.55,38.0,37.1,1
27.1,36.2,45.0,53.6,59.3,59.1,18.45,7.1,0
12.8,14.9,23.2,14.4,22.5,19.4,20.6,21.4,0
3.3,3.4,3.35,3.3,4.7,5.15,4.3,4.1,0
57.4,58.3,62.4,63.5,69.3,63.5,62.7,65.4,1
8.5,8.45,9.0,7.9,8.8,7.6,6.7,7.9,0
32.42,32.7,32.43,32.68,33.28,34.15,26.35,26.9,1
5.1,6.3,4.8,4.4,5.05,5.4,5.8,6.1,0
120.4,120.9,129.1,128.35,130.0,126.6,127.3,128.4,1
29.05,29.85,30.0,30.0,31.1,32.3,32.45,33.95,1
17.69,19.33,34.03,34.4,16.96,18.22,8.28,13.6,0
17.05,17.6,17.95,18.6,18.72,18.84,20.11,23.21,0
15.5,9.8,10.5,9.8,9.8,9.5,12.3,9.3,0
8.93,10.03,10.42,11.58,13.98,16.45,14.3,13.68,0
9.8,10.3,10.3,8.2,10.8,7.9,7.8,7.0,0
8.9,8.8,9.3,9.8,9.36,12.3,13.1,13.5,0
5.5,7.6,6.0,6.7,8.4,5.0,6.2,5.8,0
6.1,9.0,6.2,7.3,7.4,6.7,6.7,6.7,0
14.65,15.13,15.4,16.7,17.1,18.0,18.6,18.8,0
5.75,6.6,7.1,7.15,7.35,7.85,7.8,8.4,0
6.4,7.0,6.95,7.0,7.55,7.85,11.35,11.65,0
6.77,6.85,6.97,7.0,7.15,7.37,4.5,6.9,0
44.25,45.95,48.3,47.0,52.3,51.1,50.3,53.5,1
13.8,15.76,16.6,18.15,17.7,16.5,16.45,15.5,0
5.5,8.4,10.8,7.8,9.6,7.7,10.8,9.8,0
33.3,34.7,36.1,32.9,36.7,35.8,39.5,40.75,1
39.9,41.87,43.9,45.51,48.38,47.3,45.82,46.05,1
23.35,24.0,25.85,25.65,27.45,26.35,25.85,25.9,1
11.2,13.0,12.9,13.0,13.1,8.6,12.7,9.0,0
18.95,15.2,15.7,12.65,10.75,8.7,9.5,9.68,0
13.89,15.82,16.49,17.89,14.79,13.55,14.6,14.5,0
49.22,54.7,49.5,48.37,26.21,25.0,42.0,34.0,1
49.0,50.3,49.7,49.1,49.4,49.0,49.15,49.9,1
9.4,11.8,7.5,7.4,14.8,12.9,10.2,9.9,0
7.95,8.25,8.0,8.15,9.05,9.45,9.5,9.55,0
40.2,43.0,44.0,44.6,46.35,47.3,49.6,49.0,1
9.3,14.4,12.0,10.0,14.9,10.0,10.3,10.3,0
13.25,13.15,13.95,16.02,16.35,16.6,17.0,17.78,0
66.3,69.1,70.4,69.5,73.85,74.3,81.7,82.5,1
22.6,21.68,20.1,18.0,21.2,19.72,19.9,20.5,0
14.85,16.3,13.25,18.9,15.8,12.25,15.8,14.7,0
12.0,20.0,22.0,17.2,24.5,19.1,22.1,22.0,0
35.8,36.2,36.4,36.4,36.85,37.2,35.45,35.6,1
8.2,7.5,6.4,5.7,9.5,5.5,6.0,5.2,0
11.1,14.1,16.34,23.38,26.03,20.25,10.8,2.66,0
59.0,69.4,78.6,83.5,91.0,88.9,94.9,88.1,1
18.9,18.24,19.74,19.04,20.34,20.0,20.73,22.86,0
1.6,1.58,6.7,6.81,1.72,1.3,1.4,7.89,0
9.8,7.8,9.5,11.0,12.5,11.75,7.8,11.4,0
19.6,19.5,19.03,19.28,20.58,21.45,20.55,20.5,0
5.9,6.5,8.3,7.2,8.9,9.1,5.82,7.4,0
7.6,7.6,7.2,8.0,7.7,7.45,7.4,7.4,0
8.9,12.1,14.1,8.5,8.8,8.1,9.1,8.5,0
16.31,16.27,16.17,16.21,17.25,18.73,17.41,22.85,0
15.26,15.26,16.7,17.0,25.12,25.6,25.9,26.0,1
9.2,9.0,7.5,8.3,8.5,8.5,7.5,7.1,0
10.05,9.99,10.44,10.45,9.25,5.15,7.35,7.71,0
20.4,24.25,22.2,26.5,27.65,23.8,23.75,28.9,1
16.1,16.1,9.06,6.0,9.35,14.0,6.0,3.55,0
8.7,8.75,8.5,8.75,8.5,8.75,7.5,5.3,0
20.99,21.04,21.3,12.7,21.34,16.64,18.54,18.06,0
50.6,51.8,51.7,52.35,52.5,52.3,53.2,53.4,1
57.85,57.95,56.9,57.05,57.85,58.65,66.35,67.2,1
14.1,8.9,9.5,11.6,11.91,12.6,12.8,13.2,0
7.9,8.0,12.0,5.2,11.0,5.3,3.05,8.6,0
5.25,6.95,5.0,6.0,5.5,5.2,6.45,6.25,0
17.5,20.11,32.52,22.62,23.82,19.92,19.65,19.6,0
25.8,35.8,51.8,42.75,54.4,45.6,36.45,16.9,0
10.0,10.6,10.5,11.0,11.6,9.7,10.9,10.3,0
6.8,10.2,9.15,5.95,4.55,4.4,3.36,3.82,0
27.9,29.8,29.8,28.4,32.0,26.1,23.8,31.5,1
5.8,7.9,5.8,5.6,6.8,5.8,5.9,6.1,0
140.0,139.5,133.25,145.25,144.5,133.89,133.98,133.63,1
4.3,5.2,7.4,6.2,8.0,3.9,5.1,5.9,0
8.06,9.17,9.0,9.95,9.75,8.2,9.85,8.5,0
77.4,74.6,72.4,71.7,72.2,77.6,76.8,74.2,1
7.8,7.8,6.0,7.1,7.4,6.1,3.5,5.4,0
7.94,7.43,8.33,8.46,8.51,8.78,8.71,8.44,0
13.4,13.9,19.0,27.2,33.0,26.5,16.1,3.15,0
4.9,4.8,4.75,5.25,6.15,6.5,7.1,7.2,0
113.0,110.35,111.1,109.15,108.82,109.8,111.0,68.1,1
7.45,9.6,7.7,8.45,6.7,7.27,6.53,6.13,0
12.75,12.95,12.95,13.35,12.89,13.38,14.7,15.3,0
12.0,12.0,12.0,12.0,12.0,10.75,8.2,6.4,0
68.05,68.55,67.7,67.95,69.35,70.05,82.25,82.1,1
13.07,19.15,13.96,8.29,12.82,10.95,13.02,9.72,0
19.85,19.55,19.3,19.8,20.08,20.55,21.3,21.65,0
1.66,1.66,2.93,1.98,1.69,2.55,1.12,1.12,0
4.4,4.5,4.4,4.1,4.5,3.7,3.5,3.7,0
16.5,22.6,14.7,16.1,5.0,11.1,21.65,19.5,0
8.7,8.95,8.65,10.05,10.2,7.8,9.3,8.85,0
52.8,78.2,82.2,81.0,77.9,73.6,72.9,75.3,1
8.5,12.0,8.3,11.9,12.0,6.9,10.1,9.4,0
81.1,81.25,83.6,82.6,85.9,83.9,84.8,46.8,1
29.0,30.97,32.58,33.98,35.3,35.8,36.6,36.6,1
50.48,51.1,51.71,53.76,55.65,57.58,57.25,59.11,1
111.55,110.5,110.8,111.5,108.6,108.0,107.9,106.2,1
8.5,11.88,5.65,1.13,9.4,6.0,9.97,8.75,0
17.0,17.7,12.65,13.0,18.2,16.1,16.34,21.9,0
5.8,6.45,6.0,6.4,5.2,4.8,5.3,5.2,0
31.8,34.15,24.4,35.3,37.75,34.93,37.1,39.6,1
10.8,11.2,11.2,8.0,9.6,9.3,9.2,9.1,0
6.9,8.4,6.2,7.2,7.5,5.9,7.2,7.1,0
7.9,8.19,8.5,7.75,7.02,6.85,6.5,6.65,0
